text,x,y,z
extend,-15.522266,14.897575,-16.0126
thus,-19.672804,-1.5355012,12.464419
Scale,-5.7742724,10.605395,-16.315763
SHOW,4.232003,10.266695,-12.952425
Notice,0.3471628,-2.6490905,10.817135
very,-12.437786,4.855198,15.875916
Every,-11.924794,-15.02563,15.743188
Every,-13.177128,-14.923351,16.133106
Other,-13.678787,-10.438244,10.932876
They,-24.409016,-18.116545,6.4974403
one,-14.485336,-9.653747,17.525105
Photoshop,12.172451,0.86863226,-3.3543563
For,-18.574469,-18.095253,-11.03251
This,-21.348837,-23.129248,11.689128
digitally,5.166368,6.0923834,-4.488239
Notice,0.093897,-3.8438675,11.26448
horizontal,-11.639384,3.8433194,-13.392195
This,-21.174917,-24.818892,10.500506
Gursky,25.404356,-5.461355,1.2717177
Compare,-15.464532,3.2767549,7.2560906
Edweard,24.881035,-15.159093,-7.1364675
Analysis,3.783776,3.1992307,5.2411113
vision,6.7308207,9.032204,1.0749385
Public,-0.37304017,-12.538507,15.398103
Studies,2.711276,-25.500275,15.874776
SIMULTANEITY,20.45705,14.693485,8.09224
SUCCESSION,21.57888,13.027339,8.973188
Basic,-0.34790653,-11.206457,18.838049
relative,-10.091002,2.141109,4.0034003
around,-14.8138895,-1.6359236,1.5758336
initial,-20.585857,15.028672,6.2709713
Muybridge,20.687012,2.9482725,-8.452987
create,-7.8167186,13.327806,2.858336
Marey,-2.450537,-12.229312,-12.492027
uMareys,-5.579294,-12.466578,-13.236423
of,-10.578302,-22.690384,-8.46125
uIn,-13.742032,-7.2789755,-17.868998
indicate,-4.2258964,12.005349,22.93733
measurement,-4.7285266,10.673104,-18.502947
uChronographywriting,-13.077065,-4.3033834,-19.225203
uProblems,-16.275148,-5.8914537,-18.170326
reliable,-13.049853,9.392118,15.434252
movement,-8.03056,26.655325,-8.373352
uDevelopment,-17.77708,-6.4135017,-21.337729
movement,-8.03056,26.655325,-8.373352
uDevelopment,-17.77708,-6.4135017,-21.337729
Chronophotgraphy,15.710592,6.708278,-13.517887
Instead,-22.1235,-2.3066986,6.9614906
multiple,-9.59349,-6.1413236,12.974241
chronophotography,16.311054,8.563899,-13.572575
one,-14.060262,-7.959379,17.363737
viewpoint,0.8649389,7.1481867,27.088875
simultaneity,19.756992,15.730558,7.5824604
Muybridge,21.59751,3.6432586,-9.0612
frequency,-5.5160284,8.442333,-22.141603
approximate,-15.707431,-3.9125865,2.5466762
Mareys,-4.317517,-13.904857,-12.972948
Marey,-2.5778248,-12.543647,-14.296602
Marey,-1.8820395,-13.818849,-13.192173
Duchamp,28.110184,4.5220556,0.70397377
edward,26.127487,-14.551607,-5.412921
Dream,18.596193,-2.3544838,18.917555
From,-16.80807,-9.95277,-4.4162626
Gustav,18.37633,-10.523128,-8.751489
Many,-10.216517,-6.7609687,13.987311
dreams,16.192886,3.05552,17.809317
For,-18.574469,-18.095253,-11.03251
Joan,12.738415,-20.300518,-1.7875268
Jindrich,13.225076,-14.70534,-13.117451
Paul,14.668479,-19.721195,-0.4073279
Salvador,2.2521877,-13.433288,-19.686043
Max,12.503316,-14.403272,6.80411
Rene,9.262283,-16.018808,-2.1838129
These,-25.089779,-23.179731,10.7702265
SURREALISM,24.518778,6.8820963,3.9899163
FREUDS,24.541294,8.821899,11.352636
Freud,25.533274,6.765387,11.861281
modern,-1.9629582,7.610493,10.787859
Almost,-15.635339,-1.1428931,3.8846905
Most,-23.380205,-8.6503935,24.635075
They,-23.346607,-17.430218,6.1647706
could,-24.396545,2.3336425,-3.26824
dream,15.790987,-1.9532111,17.038958
To,-15.420799,-15.931973,-4.8201666
Break,-5.82902,0.55199724,-15.608132
Direct,-17.92533,11.026451,-10.71362
Use,-10.471696,11.020443,-3.38012
Method,-4.062853,0.70792323,18.869488
embarrassing,13.099147,23.909485,9.828518
By,-19.51017,-10.735096,-10.393453
connected,-8.686451,5.3395696,4.4666023
Additional,-13.469934,-11.51936,9.322103
Take,-12.520505,18.281984,-0.33480433
Remember,3.3878284,-3.9820247,10.912581
Everything,-13.257249,-16.637444,14.276856
Slowly,1.8963053,13.715897,16.143604
components,-3.663633,-7.1093984,0.6103919
Most,-21.820227,-9.452484,25.182148
free,-1.5514705,2.4606547,-26.603378
dream,15.790987,-1.9532111,17.038958
disguised,8.637217,21.010597,5.4274135
Most,-21.820227,-9.452484,25.182148
dream,15.195883,-2.3103528,19.029037
How,-25.814375,-10.794729,-1.8553958
content,0.9728605,-3.8932025,3.1203618
In,-11.162243,-23.363892,2.8164244
dream,15.790987,-1.9532111,17.038958
Methods,-3.6060226,2.1614068,17.32604
Condensation,1.177563,31.586847,6.2107835
Different,-13.624505,-4.03224,9.424789
Displacement,0.15746114,29.725899,-1.1131959
another,-15.578815,-8.381765,11.852003
Types,-1.8623705,3.3883033,16.66592
Reversal,1.7789044,31.978697,2.515473
Projection,-11.472836,17.812614,-15.947996
Part,-6.1347027,-5.222193,-1.0739177
Similarity,-16.1307,5.971386,5.740032
Turning,-12.2997055,25.647688,-14.633425
Displacement,0.4281321,30.875156,-1.6525737
satisfy,10.07113,3.2684789,24.301994
Dreams,17.67905,3.1913347,18.065691
VISUAL,10.130581,11.0638895,0.23178965
etc,-5.627441,2.89497,2.2856634
Why,-28.383091,-12.645864,-3.3294654
Why,-28.383091,-12.645864,-3.3294654
consciously,8.12415,16.731936,7.775276
just,-19.009108,2.1753473,19.27419
then,-18.624273,-0.4909544,12.956751
When,-23.705975,-9.660781,-1.3022263
everyday,-5.3083186,-15.857357,20.871895
We,-25.77551,-19.313583,1.7652357
Repression,2.625421,31.99234,3.8773708
Whatever,-14.1610775,-18.001154,12.627888
JULIA,8.900169,-23.661907,-5.5060368
JULIA,8.900169,-23.661907,-5.5060368
cewdson,32.48695,-6.9673147,-11.086278
cewdson,32.48695,-6.9673147,-11.086278
cewdson,32.48695,-6.9673147,-11.086278
cewdson,30.853954,-5.423084,-11.377342
cewdson,32.48695,-6.9673147,-11.086278
Edward,24.084658,-16.67979,-3.7646995
Edward,26.092607,-16.355324,-2.794124
Edward,26.092607,-16.355324,-2.794124
censorship,6.567666,31.81497,4.0841537
Any,-13.001844,-11.83085,13.467293
unconscious,9.598942,18.595049,7.444751
Dreaming,17.804731,3.2133307,16.190626
Dream,18.596193,-2.3544838,18.917555
BASIC,1.5354495,-10.379747,19.696568
THEORY,0.4161126,5.5140214,5.112258
material,-0.6058076,-5.6932893,4.3794146
We,-25.618855,-17.567938,1.5624249
For,-16.856104,-17.235369,-11.739917
thirst,10.235935,4.7452345,19.91808
Since,-22.267658,-9.395259,-1.6062452
shape,-2.0740473,-4.4037156,-1.8556682
someone,-13.04905,-9.154255,19.77117
If,-26.099606,-6.4300103,1.9641432
wishes,13.46268,3.4517152,20.602129
content,1.7710047,-4.5684757,3.8790073
This,-22.02477,-24.960186,12.379199
